dataset_short_name,model,level,f1_mean,f1_std,f1_rank
p2p/0.3,MP-Former (Online),event,0.0743036750859461,0.0006499659501530611,4.0
p2p/0.3,MP-Former (Online),trace,0.4356255530133475,0.004055356850501995,2.0
p2p/0.35,COMB (1),attribute,0.016836194868206398,0.0,3.5
p2p/0.35,COMB (1),event,0.1196642685851319,0.0,1.5
p2p/0.35,COMB (1),trace,0.43750000000000006,0.0,3.5
p2p/0.35,COMB (20),attribute,0.016836194868206398,0.0,3.5
p2p/0.35,COMB (20),event,0.1196642685851319,0.0,1.5
p2p/0.35,COMB (20),trace,0.43750000000000006,0.0,3.5
p2p/0.35,MP-Former (Offline),attribute,0.07768520436433897,0.00045591946915538484,1.0
p2p/0.35,MP-Former (Offline),event,0.09109345426854677,0.0007302724175068583,3.0
p2p/0.35,MP-Former (Offline),trace,0.4739436850468463,0.00010016033604523381,1.0
p2p/0.35,MP-Former (Online),attribute,0.07259992140286188,0.0006527978719507504,2.0
p2p/0.35,MP-Former (Online),event,0.087264364008105,0.002163302277666607,4.0
p2p/0.35,MP-Former (Online),trace,0.44535214573968607,0.003742811270804601,2.0
p2p/0.4,COMB (1),attribute,0.017591477724944387,0.0,3.5
p2p/0.4,COMB (1),event,0.12415076453136246,0.0,1.5
p2p/0.4,COMB (1),trace,0.47792998477929977,0.0,3.5
p2p/0.4,COMB (20),attribute,0.017591477724944387,0.0,3.5
p2p/0.4,COMB (20),event,0.12415076453136246,0.0,1.5
p2p/0.4,COMB (20),trace,0.47792998477929977,0.0,3.5
p2p/0.4,MP-Former (Offline),attribute,0.07708193098841792,0.0007228681888865962,1.0
p2p/0.4,MP-Former (Offline),event,0.10106831579262064,0.0020433864970371444,3.0
p2p/0.4,MP-Former (Offline),trace,0.532993752880312,0.002326627781922149,1.0
p2p/0.4,MP-Former (Online),attribute,0.07217247492071283,0.001377060231119968,2.0
p2p/0.4,MP-Former (Online),event,0.09477116599470654,0.0006350127823210273,4.0
p2p/0.4,MP-Former (Online),trace,0.5057201448781714,0.001053879359204168,2.0
p2p/0.45,COMB (1),attribute,0.022675501761300846,0.0,3.5
p2p/0.45,COMB (1),event,0.1565097725624384,0.0,1.5
p2p/0.45,COMB (1),trace,0.5429112632959346,0.0,1.5
p2p/0.45,COMB (20),attribute,0.022675501761300846,0.0,3.5
p2p/0.45,COMB (20),event,0.1565097725624384,0.0,1.5
p2p/0.45,COMB (20),trace,0.5429112632959346,0.0,1.5
